domain	final_url	status	tech_stack	jsonld_event_count	events_subpage	tribe_api	tier_guess	candidate_urls
535.studio	https://535.studio/	404	unknown	0	no	no	SKIP	
1rg.space	https://1rg.space/	200	wordpress,elementor	0	yes	no	T1	https://1rg.space/events/
918bathurst.com	https://918bathurst.com/	200	wordpress,tribe-events	0	yes	yes	T1	https://918bathurst.com/events/|https://918bathurst.com/artsprograms/|https://918bathurst.com/communityprograms2/|https://918bathurst.com/wp-content/uploads/2025/09/Performance-63-scaled.jpg|https://918bathurst.com/events
adifferentbooklist.com	https://www.adifferentbooklist.com/	200	static	0	yes	no	T1	
contactphoto.com	https://contactphoto.com/	200	static	0	yes	no	T1	https://contactphoto.com/festival
abcra.ca	https://www.abcra.ca/	200	wordpress	0	yes	no	T1	https://www.abcra.ca/free-monday-night-neighbourhood-concerts/|https://www.abcra.ca/planning-development/
880cities.org	https://www.880cities.org/	200	wordpress	0	no	no	T1	https://www.880cities.org/services/tailored-programs|https://www.880cities.org/keeping-the-momentum-celebrating-5-years-of-the-ontario-community-changemakers-program/
agreenerfuture.ca	https://www.agreenerfuture.ca/	200	squarespace	0	yes	no	T2	https://www.agreenerfuture.ca/events-page|https://www.agreenerfuture.ca/programs
7a-11d.ca	https://7a-11d.ca/	200	wordpress,elementor	0	no	no	T2	https://7a-11d.ca/archives/archives-years/|https://www.facebook.com/7a11dInternationalFestivalofPerformanceArt/
alucinefestival.ca	https://alucinefestival.ca/	200	static	0	yes	no	T1	
afrofest.ca	https://www.afrofest.ca/	200	squarespace	0	yes	no	T2	https://www.afrofest.ca/lauriel-inc|https://www.afrofest.ca/artist-training-program|https://www.afrofest.ca/events|https://www.rachelleshow.com/
